date,day_of_week,title,category,type
2023-05-23,Tuesday,Microsoft Fabric Announced at Build 2023: A New Era of Unified Analytics,Announcement,Milestone
2023-05-24,Wednesday,OneLake: The OneDrive for Data - What Fabric Developers Need to Know,Announcement,Milestone
2023-05-25,Thursday,Fabric Public Preview: Getting Started with Your First Lakehouse,Announcement,Milestone
2023-05-26,Friday,Getting Started with OneLake: Your First Data Lake,OneLake,Educational
2023-05-27,Saturday,"OneLake Shortcuts Deep Dive: ADLS, S3, and GCS",OneLake,Educational
2023-05-28,Sunday,OneLake Security Best Practices for Enterprise,OneLake,Educational
2023-05-29,Monday,Building Your First Lakehouse in Microsoft Fabric,Lakehouse,Educational
2023-05-30,Tuesday,Delta Tables vs Files: When to Use Each in Lakehouse,Lakehouse,Educational
2023-05-31,Wednesday,Lakehouse Performance Tuning: V-Order and Optimization,Lakehouse,Educational
2023-06-01,Thursday,Microsoft Fabric June 2023 Update: First Monthly Feature Summary,Monthly Update,Milestone
2023-06-02,Friday,Apache Spark in Fabric: Architecture Overview,Data Engineering,Educational
2023-06-03,Saturday,PySpark Best Practices for Fabric Notebooks,Data Engineering,Educational
2023-06-04,Sunday,Notebook Development Patterns: Modular Code Design,Data Engineering,Educational
2023-06-05,Monday,Data Factory Pipelines: Copy Activity Mastery,Data Factory,Educational
2023-06-06,Tuesday,Dataflows Gen2: Power Query at Scale,Data Factory,Educational
2023-06-07,Wednesday,Pipeline Orchestration: Activities and Triggers,Data Factory,Educational
2023-06-08,Thursday,Fabric Data Warehouse: T-SQL for Analytics,Data Warehouse,Educational
2023-06-09,Friday,Warehouse Performance: Distribution and Indexing,Data Warehouse,Educational
2023-06-10,Saturday,Cross-Database Queries in Fabric Warehouse,Data Warehouse,Educational
2023-06-11,Sunday,Machine Learning in Fabric: Experiments and Models,Data Science,Educational
2023-06-12,Monday,MLflow Integration: Tracking Experiments in Fabric,Data Science,Educational
2023-06-13,Tuesday,AutoML in Fabric: No-Code Model Training,Data Science,Educational
2023-06-14,Wednesday,Eventstreams: Real-Time Data Ingestion in Fabric,Real-Time Intelligence,Educational
2023-06-15,Thursday,Data Factory in Microsoft Fabric: Dataflows Gen2 Deep Dive,Feature Release,Milestone
2023-06-16,Friday,KQL Database: Querying Streaming Data,Real-Time Intelligence,Educational
2023-06-17,Saturday,Data Activator: Automated Alerts and Actions,Real-Time Intelligence,Educational
2023-06-18,Sunday,Direct Lake Mode: The Best of Import and DirectQuery,Power BI,Educational
2023-06-19,Monday,Semantic Models in Fabric: Design Patterns,Power BI,Educational
2023-06-20,Tuesday,Power BI Composite Models with OneLake,Power BI,Educational
2023-06-21,Wednesday,Fabric Capacity Management: CUs and Throttling,Administration,Educational
2023-06-22,Thursday,Workspace Administration: Roles and Permissions,Administration,Educational
2023-06-23,Friday,Monitoring Fabric: Capacity Metrics App,Administration,Educational
2023-06-24,Saturday,Git Integration in Fabric: Version Control Basics,DevOps,Educational
2023-06-25,Sunday,CI/CD Pipelines for Fabric: Deployment Automation,DevOps,Educational
2023-06-26,Monday,Fabric REST APIs: Automating Administration,DevOps,Educational
2023-06-27,Tuesday,Copilot in Power BI: Natural Language Analytics,AI/Copilot,Educational
2023-06-28,Wednesday,AI Skills in Fabric: Building Custom Agents,AI/Copilot,Educational
2023-06-29,Thursday,Azure OpenAI Integration with Fabric Data,AI/Copilot,Educational
2023-06-30,Friday,Migrating from Azure Synapse to Fabric,Migration,Educational
2023-07-01,Saturday,Microsoft Fabric July 2023 Feature Summary,Monthly Update,Milestone
2023-07-02,Sunday,Power BI to Fabric: Upgrade Path Guide,Migration,Educational
